Tm,W,L,W-L%,GB
New York Yankees,97,65,.599,--
Toronto Blue Jays,87,75,.537,10.0
Boston Red Sox,86,76,.531,11.0
Baltimore Orioles,70,92,.432,27.0
Tampa Bay Devil Rays,61,101,.377,36.0
Minnesota Twins,96,66,.593,--
Detroit Tigers,95,67,.586,1.0
Chicago White Sox,90,72,.556,6.0
Cleveland Indians,78,84,.481,18.0
Kansas City Royals,62,100,.383,34.0
Oakland Athletics,93,69,.574,--
Los Angeles Angels of Anaheim,89,73,.549,4.0
Texas Rangers,80,82,.494,13.0
Seattle Mariners,78,84,.481,15.0
New York Mets,97,65,.599,--
Philadelphia Phillies,85,77,.525,12.0
Atlanta Braves,79,83,.488,18.0
Florida Marlins,78,84,.481,19.0
Washington Nationals,71,91,.438,26.0
St. Louis Cardinals,83,78,.516,--
Houston Astros,82,80,.506,1.5
Cincinnati Reds,80,82,.494,3.5
Milwaukee Brewers,75,87,.463,8.5
Pittsburgh Pirates,67,95,.414,16.5
Chicago Cubs,66,96,.407,17.5
San Diego Padres,88,74,.543,--
Los Angeles Dodgers,88,74,.543,--
San Francisco Giants,76,85,.472,11.5
Arizona Diamondbacks,76,86,.469,12.0
Colorado Rockies,76,86,.469,12.0
