Tm,W,L,W-L%,GB
New York Yankees,100,62,.617,--
Baltimore Orioles,97,64,.602,2.5
Boston Red Sox,97,64,.602,2.5
Detroit Tigers,74,88,.457,26.0
Cleveland Indians,71,90,.441,28.5
Milwaukee Brewers,67,95,.414,33.0
Toronto Blue Jays,54,107,.335,45.5
Kansas City Royals,102,60,.630,--
Texas Rangers,94,68,.580,8.0
Chicago White Sox,90,72,.556,12.0
Minnesota Twins,84,77,.522,17.5
California Angels,74,88,.457,28.0
Seattle Mariners,64,98,.395,38.0
Oakland Athletics,63,98,.391,38.5
Philadelphia Phillies,101,61,.623,--
Pittsburgh Pirates,96,66,.593,5.0
St. Louis Cardinals,83,79,.512,18.0
Chicago Cubs,81,81,.500,20.0
Montreal Expos,75,87,.463,26.0
New York Mets,64,98,.395,37.0
Los Angeles Dodgers,98,64,.605,--
Cincinnati Reds,88,74,.543,10.0
Houston Astros,81,81,.500,17.0
San Francisco Giants,75,87,.463,23.0
San Diego Padres,69,93,.426,29.0
Atlanta Braves,61,101,.377,37.0
