Tm,W,L,W-L%,GB
New York Yankees,92,70,.568,--
Baltimore Orioles,88,74,.543,4.0
Boston Red Sox,85,77,.525,7.0
Toronto Blue Jays,74,88,.457,18.0
Detroit Tigers,53,109,.327,39.0
Cleveland Indians,99,62,.615,--
Chicago White Sox,85,77,.525,14.5
Milwaukee Brewers,80,82,.494,19.5
Minnesota Twins,78,84,.481,21.5
Kansas City Royals,75,86,.466,24.0
Texas Rangers,90,72,.556,--
Seattle Mariners,85,76,.528,4.5
Oakland Athletics,78,84,.481,12.0
California Angels,70,91,.435,19.5
Atlanta Braves,96,66,.593,--
Montreal Expos,88,74,.543,8.0
Florida Marlins,80,82,.494,16.0
New York Mets,71,91,.438,25.0
Philadelphia Phillies,67,95,.414,29.0
St. Louis Cardinals,88,74,.543,--
Houston Astros,82,80,.506,6.0
Cincinnati Reds,81,81,.500,7.0
Chicago Cubs,76,86,.469,12.0
Pittsburgh Pirates,73,89,.451,15.0
San Diego Padres,91,71,.562,--
Los Angeles Dodgers,90,72,.556,1.0
Colorado Rockies,83,79,.512,8.0
San Francisco Giants,68,94,.420,23.0
