Tm,W,L,W-L%,GB
Toronto Blue Jays,89,73,.549,--
Baltimore Orioles,87,75,.537,2.0
Boston Red Sox,83,79,.512,6.0
Milwaukee Brewers,81,81,.500,8.0
New York Yankees,74,87,.460,14.5
Cleveland Indians,73,89,.451,16.0
Detroit Tigers,59,103,.364,30.0
Oakland Athletics,99,63,.611,--
Kansas City Royals,92,70,.568,7.0
California Angels,91,71,.562,8.0
Texas Rangers,83,79,.512,16.0
Minnesota Twins,80,82,.494,19.0
Seattle Mariners,73,89,.451,26.0
Chicago White Sox,69,92,.429,29.5
Chicago Cubs,93,69,.574,--
New York Mets,87,75,.537,6.0
St. Louis Cardinals,86,76,.531,7.0
Montreal Expos,81,81,.500,12.0
Pittsburgh Pirates,74,88,.457,19.0
Philadelphia Phillies,67,95,.414,26.0
San Francisco Giants,92,70,.568,--
San Diego Padres,89,73,.549,3.0
Houston Astros,86,76,.531,6.0
Los Angeles Dodgers,77,83,.481,14.0
Cincinnati Reds,75,87,.463,17.0
Atlanta Braves,63,97,.394,28.0
