Tm,W,L,W-L%,GB
Toronto Blue Jays,99,62,.615,--
New York Yankees,97,64,.602,2.0
Detroit Tigers,84,77,.522,15.0
Baltimore Orioles,83,78,.516,16.0
Boston Red Sox,81,81,.500,18.5
Milwaukee Brewers,71,90,.441,28.0
Cleveland Indians,60,102,.370,39.5
Kansas City Royals,91,71,.562,--
California Angels,90,72,.556,1.0
Chicago White Sox,85,77,.525,6.0
Minnesota Twins,77,85,.475,14.0
Oakland Athletics,77,85,.475,14.0
Seattle Mariners,74,88,.457,17.0
Texas Rangers,62,99,.385,28.5
St. Louis Cardinals,101,61,.623,--
New York Mets,98,64,.605,3.0
Montreal Expos,84,77,.522,16.5
Chicago Cubs,77,84,.478,23.5
Philadelphia Phillies,75,87,.463,26.0
Pittsburgh Pirates,57,104,.354,43.5
Los Angeles Dodgers,95,67,.586,--
Cincinnati Reds,89,72,.553,5.5
Houston Astros,83,79,.512,12.0
San Diego Padres,83,79,.512,12.0
Atlanta Braves,66,96,.407,29.0
San Francisco Giants,62,100,.383,33.0
