Tm,W,L,W-L%,GB
New York Yankees,103,59,.636,--
Boston Red Sox,95,67,.586,8.0
Tampa Bay Rays,84,78,.519,19.0
Toronto Blue Jays,75,87,.463,28.0
Baltimore Orioles,64,98,.395,39.0
Minnesota Twins,87,76,.534,--
Detroit Tigers,86,77,.528,1.0
Chicago White Sox,79,83,.488,7.5
Cleveland Indians,65,97,.401,21.5
Kansas City Royals,65,97,.401,21.5
Los Angeles Angels of Anaheim,97,65,.599,--
Texas Rangers,87,75,.537,10.0
Seattle Mariners,85,77,.525,12.0
Oakland Athletics,75,87,.463,22.0
Philadelphia Phillies,93,69,.574,--
Florida Marlins,87,75,.537,6.0
Atlanta Braves,86,76,.531,7.0
New York Mets,70,92,.432,23.0
Washington Nationals,59,103,.364,34.0
St. Louis Cardinals,91,71,.562,--
Chicago Cubs,83,78,.516,7.5
Milwaukee Brewers,80,82,.494,11.0
Cincinnati Reds,78,84,.481,13.0
Houston Astros,74,88,.457,17.0
Pittsburgh Pirates,62,99,.385,28.5
Los Angeles Dodgers,95,67,.586,--
Colorado Rockies,92,70,.568,3.0
San Francisco Giants,88,74,.543,7.0
San Diego Padres,75,87,.463,20.0
Arizona Diamondbacks,70,92,.432,25.0
