Tm,W,L,W-L%,GB
Baltimore Orioles,108,54,.667,--
New York Yankees,93,69,.574,15.0
Boston Red Sox,87,75,.537,21.0
Detroit Tigers,79,83,.488,29.0
Cleveland Indians,76,86,.469,32.0
Washington Senators,70,92,.432,38.0
Minnesota Twins,98,64,.605,--
Oakland Athletics,89,73,.549,9.0
California Angels,86,76,.531,12.0
Kansas City Royals,65,97,.401,33.0
Milwaukee Brewers,65,97,.401,33.0
Chicago White Sox,56,106,.346,42.0
Pittsburgh Pirates,89,73,.549,--
Chicago Cubs,84,78,.519,5.0
New York Mets,83,79,.512,6.0
St. Louis Cardinals,76,86,.469,13.0
Philadelphia Phillies,73,88,.453,15.5
Montreal Expos,73,89,.451,16.0
Cincinnati Reds,102,60,.630,--
Los Angeles Dodgers,87,74,.540,14.5
San Francisco Giants,86,76,.531,16.0
Houston Astros,79,83,.488,23.0
Atlanta Braves,76,86,.469,26.0
San Diego Padres,63,99,.389,39.0
