Tm,W,L,W-L%,GB
Baltimore Orioles,91,71,.562,--
New York Yankees,89,73,.549,2.0
Boston Red Sox,84,78,.519,7.0
Cleveland Indians,77,85,.475,14.0
Milwaukee Brewers,76,86,.469,15.0
Detroit Tigers,72,90,.444,19.0
Oakland Athletics,90,72,.556,--
Texas Rangers,84,76,.525,5.0
Minnesota Twins,82,80,.506,8.0
Chicago White Sox,80,80,.500,9.0
Kansas City Royals,77,85,.475,13.0
California Angels,68,94,.420,22.0
Pittsburgh Pirates,88,74,.543,--
St. Louis Cardinals,86,75,.534,1.5
Philadelphia Phillies,80,82,.494,8.0
Montreal Expos,79,82,.491,8.5
New York Mets,71,91,.438,17.0
Chicago Cubs,66,96,.407,22.0
Los Angeles Dodgers,102,60,.630,--
Cincinnati Reds,98,64,.605,4.0
Atlanta Braves,88,74,.543,14.0
Houston Astros,81,81,.500,21.0
San Francisco Giants,72,90,.444,30.0
San Diego Padres,60,102,.370,42.0
