Tm,W,L,W-L%,GB
New York Yankees,99,63,.611,--
Toronto Blue Jays,92,70,.568,7.0
Tampa Bay Rays,86,76,.531,13.0
Baltimore Orioles,83,79,.512,16.0
Boston Red Sox,78,84,.481,21.0
Cleveland Guardians,92,70,.568,--
Chicago White Sox,81,81,.500,11.0
Minnesota Twins,78,84,.481,14.0
Detroit Tigers,66,96,.407,26.0
Kansas City Royals,65,97,.401,27.0
Houston Astros,106,56,.654,--
Seattle Mariners,90,72,.556,16.0
Los Angeles Angels,73,89,.451,33.0
Texas Rangers,68,94,.420,38.0
Oakland Athletics,60,102,.370,46.0
Atlanta Braves,101,61,.623,--
New York Mets,101,61,.623,--
Philadelphia Phillies,87,75,.537,14.0
Miami Marlins,69,93,.426,32.0
Washington Nationals,55,107,.340,46.0
St. Louis Cardinals,93,69,.574,--
Milwaukee Brewers,86,76,.531,7.0
Chicago Cubs,74,88,.457,19.0
Cincinnati Reds,62,100,.383,31.0
Pittsburgh Pirates,62,100,.383,31.0
Los Angeles Dodgers,111,51,.685,--
San Diego Padres,89,73,.549,22.0
San Francisco Giants,81,81,.500,30.0
Arizona Diamondbacks,74,88,.457,37.0
Colorado Rockies,68,94,.420,43.0
