Tm,W,L,W-L%,GB
Boston Red Sox,108,54,.667,--
New York Yankees,100,62,.617,8.0
Tampa Bay Rays,90,72,.556,18.0
Toronto Blue Jays,73,89,.451,35.0
Baltimore Orioles,47,115,.290,61.0
Cleveland Indians,91,71,.562,--
Minnesota Twins,78,84,.481,13.0
Detroit Tigers,64,98,.395,27.0
Chicago White Sox,62,100,.383,29.0
Kansas City Royals,58,104,.358,33.0
Houston Astros,103,59,.636,--
Oakland Athletics,97,65,.599,6.0
Seattle Mariners,89,73,.549,14.0
Los Angeles Angels,80,82,.494,23.0
Texas Rangers,67,95,.414,36.0
Atlanta Braves,90,72,.556,--
Washington Nationals,82,80,.506,8.0
Philadelphia Phillies,80,82,.494,10.0
New York Mets,77,85,.475,13.0
Miami Marlins,63,98,.391,26.5
Milwaukee Brewers,96,67,.589,--
Chicago Cubs,95,68,.583,1.0
St. Louis Cardinals,88,74,.543,7.5
Pittsburgh Pirates,82,79,.509,13.0
Cincinnati Reds,67,95,.414,28.5
Los Angeles Dodgers,92,71,.564,--
Colorado Rockies,91,72,.558,1.0
Arizona Diamondbacks,82,80,.506,9.5
San Francisco Giants,73,89,.451,18.5
San Diego Padres,66,96,.407,25.5
