Tm,W,L,W-L%,GB
Detroit Tigers,98,64,.605,--
Toronto Blue Jays,96,66,.593,2.0
Milwaukee Brewers,91,71,.562,7.0
New York Yankees,89,73,.549,9.0
Boston Red Sox,78,84,.481,20.0
Baltimore Orioles,67,95,.414,31.0
Cleveland Indians,61,101,.377,37.0
Minnesota Twins,85,77,.525,--
Kansas City Royals,83,79,.512,2.0
Oakland Athletics,81,81,.500,4.0
Seattle Mariners,78,84,.481,7.0
Chicago White Sox,77,85,.475,8.0
California Angels,75,87,.463,10.0
Texas Rangers,75,87,.463,10.0
St. Louis Cardinals,95,67,.586,--
New York Mets,92,70,.568,3.0
Montreal Expos,91,71,.562,4.0
Philadelphia Phillies,80,82,.494,15.0
Pittsburgh Pirates,80,82,.494,15.0
Chicago Cubs,76,85,.472,18.5
San Francisco Giants,90,72,.556,--
Cincinnati Reds,84,78,.519,6.0
Houston Astros,76,86,.469,14.0
Los Angeles Dodgers,73,89,.451,17.0
Atlanta Braves,69,92,.429,20.5
San Diego Padres,65,97,.401,25.0
