Tm,W,L,W-L%,GB
Baltimore Orioles,98,64,.605,--
New York Yankees,96,66,.593,2.0
Detroit Tigers,79,83,.488,19.0
Boston Red Sox,78,84,.481,20.0
Toronto Blue Jays,76,86,.469,22.0
Cleveland Indians,86,75,.534,--
Chicago White Sox,80,81,.497,6.0
Milwaukee Brewers,78,83,.484,8.0
Minnesota Twins,68,94,.420,18.5
Kansas City Royals,67,94,.416,19.0
Seattle Mariners,90,72,.556,--
Anaheim Angels,84,78,.519,6.0
Texas Rangers,77,85,.475,13.0
Oakland Athletics,65,97,.401,25.0
Atlanta Braves,101,61,.623,--
Florida Marlins,92,70,.568,9.0
New York Mets,88,74,.543,13.0
Montreal Expos,78,84,.481,23.0
Philadelphia Phillies,68,94,.420,33.0
Houston Astros,84,78,.519,--
Pittsburgh Pirates,79,83,.488,5.0
Cincinnati Reds,76,86,.469,8.0
St. Louis Cardinals,73,89,.451,11.0
Chicago Cubs,68,94,.420,16.0
San Francisco Giants,90,72,.556,--
Los Angeles Dodgers,88,74,.543,2.0
Colorado Rockies,83,79,.512,7.0
San Diego Padres,76,86,.469,14.0
