Tm,W,L,W-L%,GB
Baltimore Orioles,96,66,.593,--
New York Yankees,84,78,.519,12.0
Toronto Blue Jays,83,79,.512,13.0
Tampa Bay Rays,77,85,.475,19.0
Boston Red Sox,71,91,.438,25.0
Detroit Tigers,90,72,.556,--
Kansas City Royals,89,73,.549,1.0
Cleveland Indians,85,77,.525,5.0
Chicago White Sox,73,89,.451,17.0
Minnesota Twins,70,92,.432,20.0
Los Angeles Angels of Anaheim,98,64,.605,--
Oakland Athletics,88,74,.543,10.0
Seattle Mariners,87,75,.537,11.0
Houston Astros,70,92,.432,28.0
Texas Rangers,67,95,.414,31.0
Washington Nationals,96,66,.593,--
Atlanta Braves,79,83,.488,17.0
New York Mets,79,83,.488,17.0
Miami Marlins,77,85,.475,19.0
Philadelphia Phillies,73,89,.451,23.0
St. Louis Cardinals,90,72,.556,--
Pittsburgh Pirates,88,74,.543,2.0
Milwaukee Brewers,82,80,.506,8.0
Cincinnati Reds,76,86,.469,14.0
Chicago Cubs,73,89,.451,17.0
Los Angeles Dodgers,94,68,.580,--
San Francisco Giants,88,74,.543,6.0
San Diego Padres,77,85,.475,17.0
Colorado Rockies,66,96,.407,28.0
Arizona Diamondbacks,64,98,.395,30.0
