Tm,W,L,W-L%,GB
Baltimore Orioles,101,57,.639,--
Detroit Tigers,91,71,.562,12.0
Boston Red Sox,85,77,.525,18.0
New York Yankees,82,80,.506,21.0
Washington Senators,63,96,.396,38.5
Cleveland Indians,60,102,.370,43.0
Oakland Athletics,101,60,.627,--
Kansas City Royals,85,76,.528,16.0
Chicago White Sox,79,83,.488,22.5
California Angels,76,86,.469,25.5
Minnesota Twins,74,86,.463,26.5
Milwaukee Brewers,69,92,.429,32.0
Pittsburgh Pirates,97,65,.599,--
St. Louis Cardinals,90,72,.556,7.0
Chicago Cubs,83,79,.512,14.0
New York Mets,83,79,.512,14.0
Montreal Expos,71,90,.441,25.5
Philadelphia Phillies,67,95,.414,30.0
San Francisco Giants,90,72,.556,--
Los Angeles Dodgers,89,73,.549,1.0
Atlanta Braves,82,80,.506,8.0
Cincinnati Reds,79,83,.488,11.0
Houston Astros,79,83,.488,11.0
San Diego Padres,61,100,.379,28.5
