Tm,W,L,W-L%,GB
New York Yankees,95,67,.586,--
Boston Red Sox,95,67,.586,--
Toronto Blue Jays,80,82,.494,15.0
Baltimore Orioles,74,88,.457,21.0
Tampa Bay Devil Rays,67,95,.414,28.0
Chicago White Sox,99,63,.611,--
Cleveland Indians,93,69,.574,6.0
Minnesota Twins,83,79,.512,16.0
Detroit Tigers,71,91,.438,28.0
Kansas City Royals,56,106,.346,43.0
Los Angeles Angels of Anaheim,95,67,.586,--
Oakland Athletics,88,74,.543,7.0
Texas Rangers,79,83,.488,16.0
Seattle Mariners,69,93,.426,26.0
Atlanta Braves,90,72,.556,--
Philadelphia Phillies,88,74,.543,2.0
Florida Marlins,83,79,.512,7.0
New York Mets,83,79,.512,7.0
Washington Nationals,81,81,.500,9.0
St. Louis Cardinals,100,62,.617,--
Houston Astros,89,73,.549,11.0
Milwaukee Brewers,81,81,.500,19.0
Chicago Cubs,79,83,.488,21.0
Cincinnati Reds,73,89,.451,27.0
Pittsburgh Pirates,67,95,.414,33.0
San Diego Padres,82,80,.506,--
Arizona Diamondbacks,77,85,.475,5.0
San Francisco Giants,75,87,.463,7.0
Los Angeles Dodgers,71,91,.438,11.0
Colorado Rockies,67,95,.414,15.0
