Tm,W,L,W-L%,GB
Detroit Tigers,104,58,.642,--
Toronto Blue Jays,89,73,.549,15.0
New York Yankees,87,75,.537,17.0
Boston Red Sox,86,76,.531,18.0
Baltimore Orioles,85,77,.525,19.0
Cleveland Indians,75,87,.463,29.0
Milwaukee Brewers,67,94,.416,36.5
Kansas City Royals,84,78,.519,--
California Angels,81,81,.500,3.0
Minnesota Twins,81,81,.500,3.0
Oakland Athletics,77,85,.475,7.0
Chicago White Sox,74,88,.457,10.0
Seattle Mariners,74,88,.457,10.0
Texas Rangers,69,92,.429,14.5
Chicago Cubs,96,65,.596,--
New York Mets,90,72,.556,6.5
St. Louis Cardinals,84,78,.519,12.5
Philadelphia Phillies,81,81,.500,15.5
Montreal Expos,78,83,.484,18.0
Pittsburgh Pirates,75,87,.463,21.5
San Diego Padres,92,70,.568,--
Atlanta Braves,80,82,.494,12.0
Houston Astros,80,82,.494,12.0
Los Angeles Dodgers,79,83,.488,13.0
Cincinnati Reds,70,92,.432,22.0
San Francisco Giants,66,96,.407,26.0
