Tm,W,L,W-L%,GB
New York Yankees,101,61,.623,--
Boston Red Sox,98,64,.605,3.0
Baltimore Orioles,78,84,.481,23.0
Tampa Bay Devil Rays,70,91,.435,30.5
Toronto Blue Jays,67,94,.416,33.5
Minnesota Twins,92,70,.568,--
Chicago White Sox,83,79,.512,9.0
Cleveland Indians,80,82,.494,12.0
Detroit Tigers,72,90,.444,20.0
Kansas City Royals,58,104,.358,34.0
Anaheim Angels,92,70,.568,--
Oakland Athletics,91,71,.562,1.0
Texas Rangers,89,73,.549,3.0
Seattle Mariners,63,99,.389,29.0
Atlanta Braves,96,66,.593,--
Philadelphia Phillies,86,76,.531,10.0
Florida Marlins,83,79,.512,13.0
New York Mets,71,91,.438,25.0
Montreal Expos,67,95,.414,29.0
St. Louis Cardinals,105,57,.648,--
Houston Astros,92,70,.568,13.0
Chicago Cubs,89,73,.549,16.0
Cincinnati Reds,76,86,.469,29.0
Pittsburgh Pirates,72,89,.447,32.5
Milwaukee Brewers,67,94,.416,37.5
Los Angeles Dodgers,93,69,.574,--
San Francisco Giants,91,71,.562,2.0
San Diego Padres,87,75,.537,6.0
Colorado Rockies,68,94,.420,25.0
Arizona Diamondbacks,51,111,.315,42.0
