Tm,W,L,W-L%,GB
Baltimore Orioles,98,64,.605,--
Detroit Tigers,92,70,.568,6.0
New York Yankees,91,71,.562,7.0
Toronto Blue Jays,89,73,.549,9.0
Milwaukee Brewers,87,75,.537,11.0
Boston Red Sox,78,84,.481,20.0
Cleveland Indians,70,92,.432,28.0
Chicago White Sox,99,63,.611,--
Kansas City Royals,79,83,.488,20.0
Texas Rangers,77,85,.475,22.0
Oakland Athletics,74,88,.457,25.0
California Angels,70,92,.432,29.0
Minnesota Twins,70,92,.432,29.0
Seattle Mariners,60,102,.370,39.0
Philadelphia Phillies,90,72,.556,--
Pittsburgh Pirates,84,78,.519,6.0
Montreal Expos,82,80,.506,8.0
St. Louis Cardinals,79,83,.488,11.0
Chicago Cubs,71,91,.438,19.0
New York Mets,68,94,.420,22.0
Los Angeles Dodgers,91,71,.562,--
Atlanta Braves,88,74,.543,3.0
Houston Astros,85,77,.525,6.0
San Diego Padres,81,81,.500,10.0
San Francisco Giants,79,83,.488,12.0
Cincinnati Reds,74,88,.457,17.0
