Tm,W,L,W-L%,GB
New York Yankees,103,59,.636,--
Tampa Bay Rays,96,66,.593,7.0
Boston Red Sox,84,78,.519,19.0
Toronto Blue Jays,67,95,.414,36.0
Baltimore Orioles,54,108,.333,49.0
Minnesota Twins,101,61,.623,--
Cleveland Indians,93,69,.574,8.0
Chicago White Sox,72,89,.447,28.5
Kansas City Royals,59,103,.364,42.0
Detroit Tigers,47,114,.292,53.5
Houston Astros,107,55,.660,--
Oakland Athletics,97,65,.599,10.0
Texas Rangers,78,84,.481,29.0
Los Angeles Angels,72,90,.444,35.0
Seattle Mariners,68,94,.420,39.0
Atlanta Braves,97,65,.599,--
Washington Nationals,93,69,.574,4.0
New York Mets,86,76,.531,11.0
Philadelphia Phillies,81,81,.500,16.0
Miami Marlins,57,105,.352,40.0
St. Louis Cardinals,91,71,.562,--
Milwaukee Brewers,89,73,.549,2.0
Chicago Cubs,84,78,.519,7.0
Cincinnati Reds,75,87,.463,16.0
Pittsburgh Pirates,69,93,.426,22.0
Los Angeles Dodgers,106,56,.654,--
Arizona Diamondbacks,85,77,.525,21.0
San Francisco Giants,77,85,.475,29.0
Colorado Rockies,71,91,.438,35.0
San Diego Padres,70,92,.432,36.0
