Tm,W,L,W-L%,GB
Boston Red Sox,93,69,.574,--
Baltimore Orioles,89,73,.549,4.0
Toronto Blue Jays,89,73,.549,4.0
New York Yankees,84,78,.519,9.0
Tampa Bay Rays,68,94,.420,25.0
Cleveland Indians,94,67,.584,--
Detroit Tigers,86,75,.534,8.0
Kansas City Royals,81,81,.500,13.5
Chicago White Sox,78,84,.481,16.5
Minnesota Twins,59,103,.364,35.5
Texas Rangers,95,67,.586,--
Seattle Mariners,86,76,.531,9.0
Houston Astros,84,78,.519,11.0
Los Angeles Angels,74,88,.457,21.0
Oakland Athletics,69,93,.426,26.0
Washington Nationals,95,67,.586,--
New York Mets,87,75,.537,8.0
Miami Marlins,79,82,.491,15.5
Philadelphia Phillies,71,91,.438,24.0
Atlanta Braves,68,93,.422,26.5
Chicago Cubs,103,58,.640,--
St. Louis Cardinals,86,76,.531,17.5
Pittsburgh Pirates,78,83,.484,25.0
Milwaukee Brewers,73,89,.451,30.5
Cincinnati Reds,68,94,.420,35.5
Los Angeles Dodgers,91,71,.562,--
San Francisco Giants,87,75,.537,4.0
Colorado Rockies,75,87,.463,16.0
Arizona Diamondbacks,69,93,.426,22.0
San Diego Padres,68,94,.420,23.0
