Tm,W,L,W-L%,GB
Boston Red Sox,93,69,.574,--
New York Yankees,91,71,.562,2.0
Tampa Bay Rays,80,82,.494,13.0
Toronto Blue Jays,76,86,.469,17.0
Baltimore Orioles,75,87,.463,18.0
Cleveland Indians,102,60,.630,--
Minnesota Twins,85,77,.525,17.0
Kansas City Royals,80,82,.494,22.0
Chicago White Sox,67,95,.414,35.0
Detroit Tigers,64,98,.395,38.0
Houston Astros,101,61,.623,--
Los Angeles Angels,80,82,.494,21.0
Seattle Mariners,78,84,.481,23.0
Texas Rangers,78,84,.481,23.0
Oakland Athletics,75,87,.463,26.0
Washington Nationals,97,65,.599,--
Miami Marlins,77,85,.475,20.0
Atlanta Braves,72,90,.444,25.0
New York Mets,70,92,.432,27.0
Philadelphia Phillies,66,96,.407,31.0
Chicago Cubs,92,70,.568,--
Milwaukee Brewers,86,76,.531,6.0
St. Louis Cardinals,83,79,.512,9.0
Pittsburgh Pirates,75,87,.463,17.0
Cincinnati Reds,68,94,.420,24.0
Los Angeles Dodgers,104,58,.642,--
Arizona Diamondbacks,93,69,.574,11.0
Colorado Rockies,87,75,.537,17.0
San Diego Padres,71,91,.438,33.0
San Francisco Giants,64,98,.395,40.0
