Tm,W,L,W-L%,GB
New York Yankees,103,58,.640,--
Boston Red Sox,93,69,.574,10.5
Toronto Blue Jays,78,84,.481,25.5
Baltimore Orioles,67,95,.414,36.5
Tampa Bay Devil Rays,55,106,.342,48.0
Minnesota Twins,94,67,.584,--
Chicago White Sox,81,81,.500,13.5
Cleveland Indians,74,88,.457,20.5
Kansas City Royals,62,100,.383,32.5
Detroit Tigers,55,106,.342,39.0
Oakland Athletics,103,59,.636,--
Anaheim Angels,99,63,.611,4.0
Seattle Mariners,93,69,.574,10.0
Texas Rangers,72,90,.444,31.0
Atlanta Braves,101,59,.631,--
Montreal Expos,83,79,.512,19.0
Philadelphia Phillies,80,81,.497,21.5
Florida Marlins,79,83,.488,23.0
New York Mets,75,86,.466,26.5
St. Louis Cardinals,97,65,.599,--
Houston Astros,84,78,.519,13.0
Cincinnati Reds,78,84,.481,19.0
Pittsburgh Pirates,72,89,.447,24.5
Chicago Cubs,67,95,.414,30.0
Milwaukee Brewers,56,106,.346,41.0
Arizona Diamondbacks,98,64,.605,--
San Francisco Giants,95,66,.590,2.5
Los Angeles Dodgers,92,70,.568,6.0
Colorado Rockies,73,89,.451,25.0
San Diego Padres,66,96,.407,32.0
