Tm,W,L,W-L%,GB
Toronto Blue Jays,93,69,.574,--
New York Yankees,87,75,.537,6.0
Baltimore Orioles,81,81,.500,12.0
Tampa Bay Rays,80,82,.494,13.0
Boston Red Sox,78,84,.481,15.0
Kansas City Royals,95,67,.586,--
Minnesota Twins,83,79,.512,12.0
Cleveland Indians,81,80,.503,13.5
Chicago White Sox,76,86,.469,19.0
Detroit Tigers,74,87,.460,20.5
Texas Rangers,88,74,.543,--
Houston Astros,86,76,.531,2.0
Los Angeles Angels of Anaheim,85,77,.525,3.0
Seattle Mariners,76,86,.469,12.0
Oakland Athletics,68,94,.420,20.0
New York Mets,90,72,.556,--
Washington Nationals,83,79,.512,7.0
Miami Marlins,71,91,.438,19.0
Atlanta Braves,67,95,.414,23.0
Philadelphia Phillies,63,99,.389,27.0
St. Louis Cardinals,100,62,.617,--
Pittsburgh Pirates,98,64,.605,2.0
Chicago Cubs,97,65,.599,3.0
Milwaukee Brewers,68,94,.420,32.0
Cincinnati Reds,64,98,.395,36.0
Los Angeles Dodgers,92,70,.568,--
San Francisco Giants,84,78,.519,8.0
Arizona Diamondbacks,79,83,.488,13.0
San Diego Padres,74,88,.457,18.0
Colorado Rockies,68,94,.420,24.0
