Tm,W,L,W-L%,GB
Baltimore Orioles,102,57,.642,--
Milwaukee Brewers,95,66,.590,8.0
Boston Red Sox,91,69,.569,11.5
New York Yankees,89,71,.556,13.5
Detroit Tigers,85,76,.528,18.0
Cleveland Indians,81,80,.503,22.0
Toronto Blue Jays,53,109,.327,50.5
California Angels,88,74,.543,--
Kansas City Royals,85,77,.525,3.0
Texas Rangers,83,79,.512,5.0
Minnesota Twins,82,80,.506,6.0
Chicago White Sox,73,87,.456,14.0
Seattle Mariners,67,95,.414,21.0
Oakland Athletics,54,108,.333,34.0
Pittsburgh Pirates,98,64,.605,--
Montreal Expos,95,65,.594,2.0
St. Louis Cardinals,86,76,.531,12.0
Philadelphia Phillies,84,78,.519,14.0
Chicago Cubs,80,82,.494,18.0
New York Mets,63,99,.389,35.0
Cincinnati Reds,90,71,.559,--
Houston Astros,89,73,.549,1.5
Los Angeles Dodgers,79,83,.488,11.5
San Francisco Giants,71,91,.438,19.5
San Diego Padres,68,93,.422,22.0
Atlanta Braves,66,94,.413,23.5
