Tm,W,L,W-L%,GB
New York Yankees,103,59,.636,--
Baltimore Orioles,100,62,.617,3.0
Milwaukee Brewers,86,76,.531,17.0
Detroit Tigers,84,78,.519,19.0
Boston Red Sox,83,77,.519,19.0
Cleveland Indians,79,81,.494,23.0
Toronto Blue Jays,67,95,.414,36.0
Kansas City Royals,97,65,.599,--
Oakland Athletics,83,79,.512,14.0
Minnesota Twins,77,84,.478,19.5
Texas Rangers,76,85,.472,20.5
Chicago White Sox,70,90,.438,26.0
California Angels,65,95,.406,31.0
Seattle Mariners,59,103,.364,38.0
Philadelphia Phillies,91,71,.562,--
Montreal Expos,90,72,.556,1.0
Pittsburgh Pirates,83,79,.512,8.0
St. Louis Cardinals,74,88,.457,17.0
New York Mets,67,95,.414,24.0
Chicago Cubs,64,98,.395,27.0
Houston Astros,93,70,.571,--
Los Angeles Dodgers,92,71,.564,1.0
Cincinnati Reds,89,73,.549,3.5
Atlanta Braves,81,80,.503,11.0
San Francisco Giants,75,86,.466,17.0
San Diego Padres,73,89,.451,19.5
