Tm,W,L,W-L%,GB
New York Yankees,70,43,.619,--
Baltimore Orioles,63,49,.563,6.5
Toronto Blue Jays,55,60,.478,16.0
Boston Red Sox,54,61,.470,17.0
Detroit Tigers,53,62,.461,18.0
Texas Rangers,52,62,.456,--
Oakland Athletics,51,63,.447,1.0
Seattle Mariners,49,63,.438,2.0
California Angels,47,68,.409,5.5
Montreal Expos,74,40,.649,--
Atlanta Braves,68,46,.596,6.0
New York Mets,55,58,.487,18.5
Philadelphia Phillies,54,61,.470,20.5
Florida Marlins,51,64,.443,23.5
Los Angeles Dodgers,58,56,.509,--
San Francisco Giants,55,60,.478,3.5
Colorado Rockies,53,64,.453,6.5
San Diego Padres,47,70,.402,12.5
